instruction,category,intent,response
I want to order a quantity of {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order a quantity of {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order a quantity of {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
Can I get a quantity of {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get {{Quantity}} units units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order {{Quantity}} units of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order a quantity of {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order a quantity of {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
Can I get a quantity of {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order a quantity of {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} units of the product {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order a quantity of {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order order ID {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order a quantity of {{Quantity}} of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
Can I get a quantity of {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
Can I get {{Quantity}} units units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get a quantity of {{Quantity}} units of item {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I need to cancel my order {{Order Number}}.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I need to cancel my order {{Order Number}} order.,ORDER,cancel_order,You're asking about canceling order {{Order Number}}. I'll guide you through the cancellation process.
Can I get {{Quantity}} units of {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order {{Order Number}} order?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
I want to order {{Quantity}} units of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order a quantity of {{Quantity}} of {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
Can I get {{Quantity}} units of the product {{Product Name}}?,ORDER,create_order,You want to order {{Quantity}} units of {{Product Name}}. I'll help you place that order.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
How can I contact customer support?,CUSTOMER_SUPPORT,contact_customer_support,"To contact customer support, please provide your inquiry and we’ll direct you to the right team to assist you."
I want to order {{Quantity}} units of item {{Product Name}},ORDER,create_order,I see you're interested in ordering {{Quantity}} of {{Product Name}}. Let me help you with the order process.
What is the status of my order order ID {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
What is the status of my order {{Order Number}}?,ORDER,check_order_status,Let me check the status of your order {{Order Number}} and get back to you with an update.
